Estacao;Data;Hora;Velocidade do Vento Media;
83726;25/01/2016;0000;0.666667;
83726;26/01/2016;0000;0.666667;
83726;27/01/2016;0000;0.333333;
83726;28/01/2016;0000;0.333333;
83726;29/01/2016;0000;1;
83726;30/01/2016;0000;1;
83726;01/02/2016;0000;0.5;
83726;02/02/2016;0000;0.5;
83726;03/02/2016;0000;1.5;
83726;04/02/2016;0000;1.5;
83726;05/02/2016;0000;1;
83726;06/02/2016;0000;1;
83726;08/02/2016;0000;1;
83726;09/02/2016;0000;0.5;
83726;10/02/2016;0000;0.5;
83726;11/02/2016;0000;1;
83726;12/02/2016;0000;1;
83726;13/02/2016;0000;2;
83726;15/02/2016;0000;2;
83726;16/02/2016;0000;1;
83726;17/02/2016;0000;1;
83726;18/02/2016;0000;2;
83726;19/02/2016;0000;2;
83726;20/02/2016;0000;1;
83726;22/02/2016;0000;1;
83726;23/02/2016;0000;2;
83726;24/02/2016;0000;0.5;
83726;25/02/2016;0000;2;
83726;26/02/2016;0000;1;
83726;27/02/2016;0000;0.5;
83726;29/02/2016;0000;3;
83726;31/03/2016;0000;0.5;
83726;01/04/2016;0000;0.5;
83726;02/04/2016;0000;1;
83726;04/04/2016;0000;2;
83726;05/04/2016;0000;1;
83726;06/04/2016;0000;0.5;
83726;07/04/2016;0000;1;
83726;08/04/2016;0000;0.5;
83726;09/04/2016;0000;0.5;
83726;11/04/2016;0000;0.5;
83726;12/04/2016;0000;1;
83726;13/04/2016;0000;1.5;
83726;14/04/2016;0000;1.5;
83726;15/04/2016;0000;1;
83726;16/04/2016;0000;1.5;
83726;18/04/2016;0000;1.5;
83726;19/04/2016;0000;0.5;
83726;20/04/2016;0000;1;
83726;21/04/2016;0000;0.5;
83726;22/04/2016;0000;0;
83726;23/04/2016;0000;1.5;
83726;25/04/2016;0000;1;
83726;26/04/2016;0000;0.5;
83726;27/04/2016;0000;0.5;
83726;28/04/2016;0000;0.5;
83726;29/04/2016;0000;0.5;
83726;30/04/2016;0000;0.05;
83726;02/05/2016;0000;1;
83726;03/05/2016;0000;1.5;
83726;04/05/2016;0000;0;
83726;05/05/2016;0000;1;
83726;06/05/2016;0000;1;
83726;07/05/2016;0000;1;
83726;09/05/2016;0000;1.5;
83726;10/05/2016;0000;2.5;
